course_type,course_title,course_rating,course_link,course_skill,course_job
Course,SEL for Students: A Path to Social Emotional Well-Being,4.8,https://www.coursera.org/learn/sel-for-students,[],"['Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers', 'Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers']"
Course,Causal Inference,3.5,https://www.coursera.org/learn/causal-inference,[],"['Data Scientists', 'Biostatisticians', 'Researchers', 'Scientists', 'Economists', 'Data Scientists', 'Biostatisticians', 'Researchers', 'Scientists', 'Economists']"
Course,Rapid Gameplay Prototyping,4,https://www.coursera.org/learn/rapid-gameplay-prototyping,[],"['Chief Technology Officers (CTOs)', 'UI/UX Designers', 'Entrepreneurs', 'Software Engineers', 'Data Scientists', 'Chief Technology Officers (CTOs)', 'UI/UX Designers', 'Entrepreneurs', 'Software Engineers', 'Data Scientists']"
Course,Towards language universals through lexical semantics: introduction to lexical and semantic typology,4.5,https://www.coursera.org/learn/lexical-semantic-typology,[],"['Translators', 'Teachers', 'Entrepreneurs', 'Data Scientists', 'Professors']"
Course,3D Model Creation with Autodesk Fusion 360,4.8,https://www.coursera.org/learn/3d-model-creation-fusion-360,[],"['Designers', 'Entrepreneurs', 'Operations Analysts', 'Engineers', 'Technical Solutions Engineers']"
Course,Kinetics: Studying Spacecraft Motion,4.8,https://www.coursera.org/learn/spacecraft-dynamics-kinetics,[],"['Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers', 'Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers']"
Course,Big Data Applications: Machine Learning at Scale,3.8,https://www.coursera.org/learn/machine-learning-applications-big-data,[],"['Data Scientists', 'Data Engineers', 'Machine Learning Engineers', 'Data Analysts', 'Technical Solutions Engineers', 'Data Scientists', 'Data Engineers', 'Machine Learning Engineers', 'Data Analysts', 'Technical Solutions Engineers']"
Course,Relationship Management,4.7,https://www.coursera.org/learn/relationship-management,[],"['Customer Care Reps', 'Technical Solutions Engineers', 'HR Specialists', 'Entrepreneurs', 'Account Managers']"
Course,Performance Optimization in Unity,4.4,https://www.coursera.org/learn/performance-optimization-unity,[],"['Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers', 'Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers']"
Course,Causal Inference  2,4.5,https://www.coursera.org/learn/causal-inference-2,[],"['Data Scientists', 'Scientists', 'Researchers', 'Data Analysts', 'Professors']"
Course,Transistor - Field Effect Transistor and Bipolar Junction Transistor,3,https://www.coursera.org/learn/transistor-field-effect-transistor-bipolar-junction-transistor,[],"['Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers', 'Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers']"
Course,"Introduction to CAD, CAM, and Practical CNC Machining",5,https://www.coursera.org/learn/introduction-cad-cam-practical-cnc-machining,"['Manufacturing Process Management', 'Computer-Aided Design (CAD)', 'Computer-Aided Manufacturing', 'Autodesk Fusion 360', 'Mechanical Engineering']","['Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers', 'Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers']"
Course,Capstone:  Autonomous Runway Detection for IoT,4.7,https://www.coursera.org/learn/autonomous-runway-detection,[],"['Engineers', 'Software Engineers']"
Course,Manufacturing Process with Autodesk Fusion 360,4.5,https://www.coursera.org/learn/manufacturing-process-fusion-360,[],"['Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers', 'Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers']"
Course,Expanding SEL,4.9,https://www.coursera.org/learn/expanding-sel,[],"['Teachers', 'Founders']"
Course,General Academic English,5,https://www.coursera.org/learn/general-academic-english,[],"['Marketing Specialists', 'Teachers', 'Software Engineers', 'Marketing Specialists', 'Teachers', 'Software Engineers']"
